Date,Building_Rev,Civil_Rev,Specialty_Contractors_Rev,Eliminations_Rev,Building_Op_Inc,Civil_Op_Inc,Specialty_Contractors_Op_Inc,Corporate_Op_Inc,Total_Operating_Income,Other_Income_Net,Int_Exp,EBITDA,Inc_Before_Taxes,Prov_for_Inc_Taxes,NCI,NOPAT,ROIC,Net_Inc,Basic_EPS,Dil_EPS,Basic_Shares,Dil_Shares
3/31/2016,488.0,367.5,281.8,-51.9,12.5,33.7,9.4,-15.4,40.1,0.7,-14.1,41.2,26.7,-11.3,0.0,26.3,2.5,15.4,0.3,0.3,49.1,49.3
6/30/2016,523.5,465.7,318.9,-61.9,13.2,45.1,5.4,-14.9,48.8,2.5,-15.5,51.2,35.8,-14.4,0.0,35.4,3.3,21.4,0.4,0.4,49.1,49.6
9/31/2016,560.8,506.1,331.6,-65.5,13.3,50.3,11.1,-13.8,60.9,2.0,-15.0,65.3,47.9,-19.1,0.0,47.5,4.6,28.8,0.6,0.6,49.2,50.1
12/31/2016,551.8,452.3,302.0,-59.5,12.6,43.6,12.0,-16.2,52.1,1.8,-15.1,58.7,38.7,-8.4,0.0,38.5,3.4,30.3,0.6,0.6,49.2,50.5
3/31/2017,515.3,338.1,315.7,-51.7,5.2,31.9,14.8,-14.9,37.0,0.4,-15.6,42.9,21.9,-8.1,0.0,21.5,1.7,13.8,0.3,0.3,49.3,50.9
6/30/2017,508.8,538.6,281.9,-81.9,5.7,58.1,-14.0,-15.8,34.0,41.0,-22.5,62.3,52.5,-19.9,-2.5,52.1,3.9,30.1,0.6,0.6,49.7,50.8
9/31/2017,500.4,458.5,310.1,-69.5,14.1,38.1,14.6,-17.7,49.1,1.0,-15.6,44.1,34.4,-9.1,-1.7,34.1,2.6,23.6,0.5,0.5,49.7,50.8
12/31/2017,462.5,492.3,306.0,-67.8,9.2,64.0,3.6,-17.5,59.3,1.5,-15.7,56.7,45.2,37.7,-1.9,46.0,3.7,80.9,1.6,1.6,49.8,50.7
3/31/2018,490.6,325.4,274.8,-62.7,6.4,2.8,7.2,-17.4,-0.9,0.8,-15.1,-5.0,-15.2,4.3,-1.2,-15.5,-1.2,-12.1,-0.2,-0.2,49.8,49.8
6/30/2018,448.0,461.6,270.6,-60.1,12.5,49.4,7.5,-14.6,54.8,1.1,-16.0,50.8,39.9,-12.0,-3.0,39.6,2.9,24.9,0.5,0.5,49.9,49.9
9/31/2018,457.3,479.6,236.2,-49.9,8.9,41.3,11.6,-14.4,47.3,1.9,-16.4,45.2,32.8,-7.4,-4.2,32.6,2.4,21.3,0.4,0.4,50.0,50.4
12/31/2018,471.0,543.6,225.3,-56.6,16.1,74.7,17.2,-17.3,90.7,0.5,-16.0,88.8,75.2,-19.8,-6.0,74.9,5.4,49.4,1.0,1.0,50.0,50.3
3/31/2019,436.2,383.6,191.5,-52.9,3.1,41.7,-7.5,-14.4,22.9,0.4,-16.4,20.7,6.9,-2.2,-5.1,6.6,0.4,-0.3,0.0,0.0,50.1,50.1
6/30/2019,433.6,541.1,223.3,-72.7,-3.8,-164.5,-159.8,-13.6,-341.7,-0.1,-14.5,-341.8,-356.4,42.9,-5.1,-356.5,-22.7,-318.6,-6.3,-6.3,50.2,50.2
9/31/2019,421.2,591.9,249.5,-73.2,7.6,50.7,7.2,-17.6,47.9,1.7,-17.3,48.5,32.3,-5.6,-7.4,32.1,2.3,19.3,0.4,0.4,50.3,50.6
12/31/2019,517.1,469.4,481.3,-101.2,10.3,49.3,24.1,-16.8,66.9,-2.0,-11.7,73.6,53.2,-15.4,-7.4,52.9,3.7,30.3,0.6,0.6,50.3,50.6
3/31/2020,388.9,547.0,264.2,-77.5,15.6,57.4,13.2,-13.8,72.4,0.0,-13.8,74.9,58.6,-17.0,-4.0,58.3,4.0,37.6,0.7,0.7,50.3,50.6
6/30/2020,457.1,830.3,306.1,-77.5,18.3,87.2,15.3,-18.6,102.1,0.0,-13.8,104.6,88.4,-25.6,-4.0,88.1,5.5,58.7,1.2,1.2,50.3,50.6
9/31/2020,466.8,828.4,323.4,-77.5,18.7,87.0,16.2,-19.0,102.9,0.0,-13.8,105.4,89.1,-25.8,-4.0,88.8,5.2,59.3,1.2,1.2,50.3,50.6
12/31/2020,509.7,815.5,338.6,-77.5,20.4,85.6,16.9,-19.5,103.4,0.0,-13.8,105.9,89.7,-26.0,-4.0,89.4,5.1,59.7,1.2,1.2,50.3,50.6
3/31/2021,381.4,528.8,260.0,-77.5,15.3,55.5,13.0,-13.4,70.3,0.0,-13.8,72.8,56.6,-16.4,-4.0,56.3,3.2,36.2,0.7,0.7,50.3,50.6
6/30/2021,459.1,841.6,303.0,-77.5,18.4,88.4,15.2,-18.8,103.1,0.0,-13.8,105.6,89.4,-25.9,-4.0,89.1,5.1,59.4,1.2,1.2,50.3,50.6
9/31/2021,463.2,822.2,321.5,-77.5,18.5,86.3,16.1,-18.8,102.1,0.0,-13.8,104.6,88.4,-25.6,-4.0,88.1,5.1,58.7,1.2,1.2,50.3,50.6
12/31/2021,518.7,828.7,347.9,-77.5,20.7,87.0,17.4,-19.9,105.3,0.0,-13.8,107.8,91.5,-26.5,-4.0,91.2,5.2,61.0,1.2,1.2,50.3,50.6
3/31/2022,358.7,521.2,244.8,-77.5,14.3,54.7,12.2,-12.9,68.4,0.0,-13.8,70.9,54.7,-15.9,-4.0,54.4,3.1,34.8,0.7,0.7,50.3,50.6
6/30/2022,457.2,829.4,307.3,-77.5,18.3,87.1,15.4,-18.7,102.1,0.0,-13.8,104.6,88.3,-25.6,-4.0,88.0,5.1,58.7,1.2,1.2,50.3,50.6
9/31/2022,464.3,838.2,323.2,-77.5,18.6,88.0,16.2,-19.0,103.7,0.0,-13.8,106.2,89.9,-26.1,-4.0,89.7,5.2,59.9,1.2,1.2,50.3,50.6
12/31/2022,542.4,832.4,357.1,-77.5,21.7,87.4,17.9,-20.3,106.6,0.0,-13.8,109.1,92.9,-26.9,-4.0,92.6,5.3,61.9,1.2,1.2,50.3,50.6
